"Design.";"model_file";"Performance";"Pressure.Drop.1";"Toutlet.Average";"Toutlet.Standard.Deviation"
191;"mf_(4_0,200,135_0,24,12,6).stl";"-1.01809";"1.59626";"17.0065";"0.616857"
192;"mf_(4_0,200,135_0,24,12,8).stl";"-1.08881";"1.73649";"17.0458";"0.609483"
193;"mf_(4_0,200,90_0,12,0,4).stl";"-1";"1.64013";"17.0359";"0.591365"
194;"mf_(4_0,200,90_0,12,0,6).stl";"-0.994649";"1.65885";"17.0263";"0.581118"
195;"mf_(4_0,200,90_0,12,0,8).stl";"-1.02829";"1.6188";"17.0326";"0.615666"
196;"mf_(4_0,200,90_0,12,12,4).stl";"-0.966566";"1.62352";"17.0118";"0.576745"
200;"mf_(4_0,200,90_0,16,0,6).stl";"-1.06669";"1.64798";"17.0168";"0.602155"
201;"mf_(4_0,200,90_0,16,0,8).stl";"-1.09778";"1.72783";"17.0186";"0.589297"
202;"mf_(4_0,200,90_0,16,12,4).stl";"-1.01563";"1.63432";"17.0376";"0.577221"
203;"mf_(4_0,200,90_0,16,12,6).stl";"-1.05846";"1.68341";"17.0033";"0.582509"
204;"mf_(4_0,200,90_0,16,12,8).stl";"-1.0927";"1.71501";"17.0346";"0.591894"
205;"mf_(4_0,200,90_0,20,0,4).stl";"-1.08698";"1.6411";"17.038";"0.618031"
206;"mf_(4_0,200,90_0,20,0,6).stl";"-1.06124";"1.64435";"17.0228";"0.600499"
207;"mf_(4_0,200,90_0,20,0,8).stl";"-1.10344";"1.68979";"16.9965";"0.607141"
208;"mf_(4_0,200,90_0,20,12,4).stl";"-0.998167";"1.57878";"17.0309";"0.588514"
209;"mf_(4_0,200,90_0,20,12,6).stl";"-1.09256";"1.68725";"17.0267";"0.602609"
210;"mf_(4_0,200,90_0,20,12,8).stl";"-1.09207";"1.70962";"17.0141";"0.592923"
211;"mf_(4_0,200,90_0,24,0,4).stl";"-1.11605";"1.74309";"17.0281";"0.622598"
212;"mf_(4_0,200,90_0,24,0,6).stl";"-1.04719";"1.68515";"17.0314";"0.602884"
213;"mf_(4_0,200,90_0,24,0,8).stl";"-1.23472";"1.83563";"17.03";"0.630157"
214;"mf_(4_0,200,90_0,24,12,4).stl";"-1.00601";"1.63879";"17.0517";"0.59595"
215;"mf_(4_0,200,90_0,24,12,6).stl";"-1.01809";"1.59626";"17.0065";"0.616857"
216;"mf_(4_0,200,90_0,24,12,8).stl";"-1.08881";"1.73649";"17.0458";"0.609483"
